id,label
0,1
1,1
100,0
1000,1
10000,1
10001,1
10002,1
10004,0
10008,1
1001,0
10010,1
10013,1
10014,1
10015,1
10016,0
10017,1
10019,1
10020,0
1003,1
10030,1
10031,1
10033,0
10034,1
10036,1
1004,1
10040,1
10041,0
10044,1
10048,1
10049,1
10052,1
10053,0
10055,0
10056,0
10058,1
10059,0
10060,0
10062,1
10063,1
10064,0
10066,1
10067,0
10069,0
1007,1
10070,0
10072,0
10076,0
10077,1
1008,0
10080,0
10084,1
10086,0
10087,0
10088,0
10089,0
1009,0
10090,0
10096,0
10099,1
10100,0
10101,1
10102,1
10103,1
10104,0
10105,0
10106,0
10107,1
10108,0
10109,0
10111,1
10112,0
10113,0
10115,1
10119,0
1012,1
10125,1
10126,0
10127,1
10129,1
10137,0
10140,1
10143,0
10145,1
10149,0
1015,0
10150,0
10153,0
10154,1
10156,1
10159,1
1016,0
10161,0
10162,1
10163,0
10164,0
10165,1
10168,1
10169,0
1017,1
10171,1
10174,1
10179,0
10180,1
10184,1
10185,0
10186,1
10188,0
10191,1
10192,1
10193,1
10195,1
10196,0
10199,0
1020,1
10201,1
10203,1
10204,0
10207,1
10209,0
1021,1
10210,1
10212,1
10213,1
10214,1
10215,0
10217,1
10218,1
10219,0
10224,0
10226,0
10228,1
10229,1
10232,1
10234,0
10235,1
10239,1
1024,1
10242,0
10244,0
10245,1
1025,0
10250,0
10251,0
10253,0
10255,1
10256,1
1026,0
10261,1
10262,0
10264,1
10266,1
10267,1
1027,1
10273,1
10274,1
10275,1
10276,1
10277,0
10279,1
10280,1
10283,0
10288,0
1029,1
10293,0
10294,1
10295,1
10296,0
10300,0
10302,1
10304,0
10306,0
10307,0
10308,1
10311,0
10312,1
10317,1
10318,1
10319,1
1032,1
10320,1
10321,1
10322,0
10329,1
10331,1
10335,1
10336,1
10338,1
10339,0
10340,0
10342,1
10343,1
10348,0
10349,1
10353,0
10355,0
10356,0
10357,1
10360,0
10363,0
10366,1
10367,1
10368,0
10369,1
10370,1
10375,0
10377,1
10378,0
10379,1
1038,0
10381,0
10384,1
10385,0
10389,1
10392,1
10396,1
10397,1
10398,1
104,1
10404,1
10405,1
10406,0
10407,1
10408,1
10409,1
10410,0
10413,0
10415,1
10417,0
10418,0
1042,0
10423,1
10425,1
10428,1
10430,1
10431,1
10432,0
10435,1
10437,1
10438,0
10439,1
1044,1
10441,0
10442,0
10443,1
10445,0
10447,1
10448,0
1045,0
10450,1
10451,1
10453,0
10455,1
10459,1
10462,0
10463,1
10464,1
10468,1
10469,0
10471,1
10473,1
10475,1
10476,0
10477,0
10479,0
10481,0
10486,1
10487,1
10492,1
10494,1
10495,1
10496,0
10497,1
105,1
10501,1
10504,1
10505,0
10506,0
10507,0
10509,1
10512,0
10513,1
10518,0
10521,1
10522,1
10523,1
10524,1
10525,1
10527,0
10528,1
10529,1
1053,0
10533,1
10534,1
10535,0
10538,0
10539,0
10541,1
10542,0
10543,1
10544,1
10545,0
10547,0
10548,0
10549,0
1055,0
10552,1
10555,1
10556,1
10557,0
10558,0
1056,0
10560,0
10562,1
10566,1
10568,0
10573,0
10574,1
10577,0
10581,1
10586,0
10587,1
10589,1
10590,0
10591,1
10592,0
10593,0
10594,1
10596,1
106,1
1060,1
10601,1
10603,0
10604,1
10605,0
10607,0
10612,0
10614,0
10619,1
1062,1
10620,0
10623,0
10625,1
10626,1
1063,0
10630,1
10631,0
10632,0
10635,0
10636,1
10637,0
10638,0
10640,1
10641,1
10645,1
10646,0
10647,1
10649,0
10652,1
10653,1
10657,1
10660,0
10661,1
10662,1
10663,1
10664,0
10669,0
1067,0
10670,0
10672,0
10673,0
10674,1
10675,0
10678,0
10679,1
1068,1
10682,0
10683,0
10684,1
10692,1
10693,1
10694,1
10695,0
10696,1
10697,1
10699,0
1070,0
10701,1
10707,1
10708,0
10709,1
1071,1
10711,0
10712,1
10713,0
10714,1
10717,1
10720,0
10722,1
10723,1
10724,1
10726,1
10727,0
10729,1
10730,0
10731,1
10733,1
10734,0
10735,1
10736,1
10738,0
10739,0
10743,1
10746,1
10747,1
10749,1
10750,1
10751,1
10755,1
10758,1
10759,1
10760,0
10762,1
10766,0
10770,0
10772,1
10774,1
10775,1
10777,1
10779,1
10780,0
10781,0
10782,1
10789,1
10793,0
10796,1
10797,0
10798,1
10799,1
10800,1
10804,0
1081,1
10810,1
10812,0
10813,0
10814,1
1082,0
10821,0
10827,1
10828,0
1083,0
10831,1
10832,0
10833,0
10835,0
10837,0
10839,0
1084,1
10840,0
10841,0
10842,0
10843,1
10845,1
10847,0
10849,0
10850,1
10853,0
10856,0
10857,1
10858,1
10860,1
10863,1
10864,0
10866,0
10869,0
1087,0
10871,1
10872,0
10874,1
10875,0
1088,0
10881,1
10884,0
10885,0
10887,1
1089,1
10890,1
10891,0
10892,0
10893,1
10894,0
10897,0
109,1
1090,0
10900,1
10901,1
10903,1
10905,0
10907,1
10908,1
10912,1
10913,1
10915,0
10916,1
10919,0
1092,1
10920,0
10921,1
10923,0
10925,1
10927,0
10930,1
10936,0
10937,1
10939,1
1094,1
10940,1
10945,1
10949,0
1095,0
10950,1
10951,0
10953,0
10954,1
10957,1
10959,0
10962,0
10966,1
10967,1
10968,1
10969,0
10972,1
10974,0
10975,0
10976,1
10979,0
10980,1
10981,1
10982,1
10984,1
10986,1
10988,0
1099,0
10990,1
10995,1
10999,1
110,0
11003,0
11004,1
11005,0
11010,0
11011,0
11012,1
11013,0
11014,1
11015,0
11018,0
11019,0
1102,0
11021,0
11023,1
11025,0
11026,1
11027,1
11028,1
11029,0
1103,1
11033,0
11034,1
11036,0
11040,0
11041,0
11042,1
11044,1
11045,0
11048,1
11050,0
11051,1
11053,0
11054,0
11055,1
1106,1
11061,1
11063,0
11064,0
11066,1
11069,0
11072,1
11075,1
11079,1
1108,0
11080,0
11082,1
11083,0
11086,1
11088,0
11089,0
11092,1
11093,1
11094,0
111,1
1110,1
11101,0
11103,1
11104,0
11109,0
11110,0
11112,0
11113,0
11117,0
11118,0
11119,0
11121,1
11122,1
11124,1
11125,1
11127,0
1113,1
11131,0
11134,0
11136,0
11137,1
11138,1
11139,0
1114,1
11142,0
11143,1
11144,0
11145,1
11147,0
11148,1
11149,0
1115,1
11150,1
11151,1
11152,0
11153,1
11156,1
11158,0
11159,1
11162,1
11168,1
11170,0
11173,1
11176,0
1118,1
11182,0
11186,0
11188,0
11192,0
11193,1
11195,1
11197,0
